time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T,H
12.4,2036.25,750.75,1409.5,1949.25,1909.5,2550.25,253.625,1780.375,2192.875,2382.625,35.97,42.25
12.5,2045.25,751.25,1409.375,1999.125,1929.375,2566.375,253.75,1857.375,2243.625,2487,36,42.26
12.6,2055,751.75,1409.375,2052.375,1949.875,2582.875,254.25,1941.5,2296.25,2586.5,35.99,42.29
12.7,2065.375,752.375,1409.5,2109.625,1971.875,2600.25,254.5,2033.75,2351.375,2682.125,35.99,42.36
12.8,2076.5,753.125,1409.375,2169.875,1994.875,2618.125,254.75,2132.25,2407.5,2771.625,35.97,42.34
12.9,2088.125,753.75,1409.5,2231.5,2018.75,2636.125,255.25,2234.625,2463.375,2854.375,35.97,42.48
13.0,2100.5,754.5,1409.375,2295.125,2043.75,2654.625,255.625,2341.25,2519.875,2930.875,36,42.5
13.1,2113.5,755.25,1409.375,2359.125,2069.625,2673.125,256.125,2449.25,2575.75,3000.375,36,42.5
13.2,2126.875,756.125,1409.5,2422.25,2095.5,2691.625,256.25,2556,2630.125,3063,35.97,42.58
13.3,2141,756.875,1409.375,2484.875,2122.125,2710.125,256.75,2662,2683.75,3120.625,35.99,42.65
13.4,2155.5,757.75,1409.5,2545.25,2148.75,2728.375,257,2763.375,2735.375,3172.25,35.97,42.73
13.5,2170.625,758.625,1409.5,2604.125,2175.75,2746.625,257.375,2860.625,2785.875,3219.5,36,42.72
13.6,2186.25,759.5,1409.5,2660.125,2202.875,2764.5,257.625,2951.875,2834.75,3262.625,35.99,42.86
13.7,2202.125,760.5,1409.5,2712.75,2229.375,2781.875,258,3035.75,2881.25,3301.375,35.99,42.83
13.8,2218.5,761.375,1409.5,2762.75,2256,2799.125,258.25,3113.5,2926.25,3337.25,36,42.91
13.9,2235.25,762.25,1409.5,2809.75,2282.25,2815.875,258.625,3184.375,2969.125,3370.25,36,42.96
14.0,2252.25,763.375,1409.5,2853,2307.875,2832.125,258.875,3247.875,3009.625,3400.625,35.99,42.96
14.1,2269.625,764.375,1409.5,2893.75,2333.125,2848,259.125,3305.75,3048.5,3429.375,36,43.05
14.2,2287.375,765.5,1409.625,2931.375,2358,2863.125,259.625,3357.875,3085.5,3456.125,35.99,43.14
14.3,2305.125,766.5,1409.625,2966,2381.875,2877.625,259.75,3404.125,3120.25,3480.25,36,43.23
14.4,2323.375,767.625,1409.625,2998.25,2405.125,2891.875,260,3446,3153.5,3502.875,35.99,43.23
14.5,2341.75,768.75,1409.625,3028,2428,2905.375,260.5,3483.625,3185.125,3524,36,43.35
14.6,2360.125,769.75,1409.75,3055.125,2449.625,2918.125,260.75,3517,3214.75,3543.375,36,43.39
14.7,2378.875,770.875,1409.75,3080.5,2470.75,2930.5,260.875,3547.25,3243,3561.375,36,43.42
14.8,2397.625,772,1409.75,3103.75,2491.125,2942.25,261.125,3574.375,3269.75,3578.125,35.99,43.49
14.9,2416.375,773.125,1409.75,3125,2510.5,2953.25,261.5,3598.75,3294.75,3593.375,36,43.56
15.0,2435.25,774.375,1409.75,3144.75,2529.25,2963.875,261.75,3620.875,3318.625,3608,36,43.59
15.1,2454.25,775.625,1409.875,3163,2547.125,2974,262,3640.875,3341.25,3621.625,36,43.69
15.2,2473,776.625,1409.875,3179.625,2564,2983.375,262.125,3658.875,3362.125,3634.25,35.99,43.72
15.3,2492.125,778,1410,3195.25,2580.25,2992.5,262.375,3675.25,3382.25,3646,35.99,43.79
15.4,2511,779.25,1410,3209.625,2595.75,3001,262.75,3690.125,3401.125,3657,35.99,43.81
15.5,2529.625,780.375,1410,3222.75,2610.25,3009,262.875,3703.5,3418.75,3667.125,36,43.89
15.6,2548.5,781.625,1410.125,3235.125,2624.25,3016.5,263.125,3715.875,3435.625,3676.5,36.02,43.88
15.7,2567.125,783,1410.125,3246.5,2637.375,3023.625,263.125,3727,3451.375,3685.375,36,43.97
15.8,2585.625,784.25,1410.125,3256.875,2649.625,3030.125,263.375,3737.125,3466.125,3693.5,35.99,44.04
15.9,2604,785.5,1410.125,3266.75,2661.375,3036.5,263.625,3746.375,3480.25,3701,35.99,44.11
